Artist	Popularity	Year
KAROL G	98.0	2019.0
The Weeknd	96.75	2019.0
The Black Eyed Peas	96.0	2019.0
Regard	94.0	2019.0
Travis Scott	94.0	2019.0
blackbear	94.0	2019.0
Anuel AA	93.0	2019.0
Juice WRLD	92.0	2019.0
Rauw Alejandro	92.0	2019.0
Billie Eilish	91.6	2019.0
Trevor Daniel	97.0	2018.0
Halsey	88.0	2018.0
Travis Scott	87.0	2018.0
Kina	86.0	2018.0
Doja Cat	85.0	2018.0
Meek Mill	85.0	2018.0
Drake	84.5	2018.0
Camila Cabello	84.0	2018.0
Cardi B	84.0	2018.0
Dynoro	84.0	2018.0
Ed Sheeran	84.5	2017.0
Lil Uzi Vert	84.0	2017.0
Lauv	83.0	2017.0
Frank Ocean	82.0	2017.0
Future	81.0	2017.0
Marshmello	81.0	2017.0
ZAYN	81.0	2017.0
Demi Lovato	80.0	2017.0
Hailee Steinfeld	79.33333333333333	2017.0
Daniel Caesar	79.0	2017.0
Travis Scott	86.0	2016.0
Post Malone	84.0	2016.0
James Arthur	82.0	2016.0
Hippie Sabotage	81.0	2016.0
Twenty One Pilots	81.0	2016.0
Bruno Mars	80.66666666666667	2016.0
DNCE	80.0	2016.0
Ariana Grande	79.0	2016.0
Calvin Harris	78.14285714285714	2016.0
The Chainsmokers	77.18181818181819	2016.0
Aaron Smith	84.0	2014.0
Ed Sheeran	84.0	2014.0
J. Cole	82.0	2014.0
A Great Big World	78.0	2014.0
Vance Joy	78.0	2014.0
George Ezra	76.0	2014.0
Mr. Probz	76.0	2014.0
Rixton	76.0	2014.0
Pitbull	73.0	2014.0
Sia	72.6	2014.0
P!nk	80.0	2012.0
The Script	78.0	2012.0
Bruno Mars	77.0	2012.0
MKTO	77.0	2012.0
Pitbull	76.0	2012.0
Alicia Keys	75.0	2012.0
Tame Impala	75.0	2012.0
One Direction	74.25	2012.0
fun.	73.33333333333333	2012.0
Flo Rida	72.33333333333333	2012.0
Mark Ronson	82.0	2015.0
