Name	Popularity	Year
Blinding Lights	98.0	2019.0
Memories	98.0	2019.0
Tusa	98.0	2019.0
Don't Start Now	97.0	2019.0
everything i wanted	97.0	2019.0
RITMO (Bad Boys For Life)	96.0	2019.0
bad guy	95.0	2019.0
HIGHEST IN THE ROOM	94.0	2019.0
My Oh My (feat. DaBaby)	94.0	2019.0
Ride It	94.0	2019.0
Falling	97.0	2018.0
Happier	89.0	2018.0
Without Me	88.0	2018.0
Better Now	87.0	2018.0
SICKO MODE	87.0	2018.0
Sweet but Psycho	87.0	2018.0
Get You The Moon (feat. Snøw)	86.0	2018.0
God's Plan	86.0	2018.0
High Hopes	86.0	2018.0
Candy	85.0	2018.0
XO Tour Llif3	84.0	2017.0
I Like Me Better	83.0	2017.0
Young Dumb & Broke	83.0	2017.0
Chanel	82.0	2017.0
Wolves	82.0	2017.0
Best Friend	81.0	2017.0
Dusk Till Dawn - Radio Edit	81.0	2017.0
Let Me Go (with Alesso, Florida Georgia Line & watt)	81.0	2017.0
Mask Off	81.0	2017.0
Scared to Be Lonely	81.0	2017.0
goosebumps	86.0	2016.0
Closer (feat. Halsey)	85.0	2016.0
Congratulations	84.0	2016.0
Say You Won't Let Go	82.0	2016.0
That's What I Like	82.0	2016.0
Devil Eyes	81.0	2016.0
Don't Let Me Down	81.0	2016.0
Heathens	81.0	2016.0
Cake By The Ocean	80.0	2016.0
In the Name of Love	80.0	2016.0
Dancin (feat. Luvli) - Krono Remix	84.0	2014.0
Photograph	84.0	2014.0
No Role Modelz	82.0	2014.0
Take Me To Church	80.0	2014.0
Summer	79.0	2014.0
A Sky Full of Stars	78.0	2014.0
Blank Space	78.0	2014.0
Riptide	78.0	2014.0
Rude	78.0	2014.0
Say Something	78.0	2014.0
Can't Hold Us - feat. Ray Dalton	83.0	2012.0
Just Give Me a Reason (feat. Nate Ruess)	80.0	2012.0
Titanium (feat. Sia)	79.0	2012.0
Hall of Fame	78.0	2012.0
Locked Out of Heaven	78.0	2012.0
Payphone	78.0	2012.0
What Makes You Beautiful	78.0	2012.0
Classic	77.0	2012.0
They Don't Know About Us	77.0	2012.0
I Knew You Were Trouble.	76.0	2012.0
Stressed Out	83.0	2015.0
Uptown Funk	82.0	2015.0
Ride	81.0	2015.0
Sorry	81.0	2015.0
See You Again (feat. Charlie Puth)	80.0	2015.0
Sugar	80.0	2015.0
Centuries	79.0	2015.0
Like I'm Gonna Lose You (feat. John Legend)	78.0	2015.0
What Do You Mean?	78.0	2015.0
How Deep Is Your Love	77.0	2015.0
All of Me	85.0	2013.0
Wake Me Up	84.0	2013.0
Sweater Weather	81.0	2013.0
Story of My Life	80.0	2013.0
Royals	78.0	2013.0
Hey Brother	77.0	2013.0
Mirrors	77.0	2013.0
Roar	77.0	2013.0
We Can't Stop	77.0	2013.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit	76.0	2013.0
Mistletoe	84.0	2011.0
Pumped Up Kicks	83.0	2011.0
A Thousand Years	79.0	2011.0
Give Me Everything	79.0	2011.0
Someone Like You	79.0	2011.0
Tongue Tied	78.0	2011.0
Paradise	77.0	2011.0
Somebody That I Used To Know	77.0	2011.0
Rolling in the Deep	76.0	2011.0
Love You Like A Love Song	75.0	2011.0
Hey, Soul Sister	82.0	2010.0
Just the Way You Are	80.0	2010.0
DJ Got Us Fallin' In Love (feat. Pitbull)	78.0	2010.0
Baby	76.0	2010.0
Raise Your Glass	76.0	2010.0
Danza Kuduro	75.0	2010.0
On Melancholy Hill	75.0	2010.0
Dynamite	74.0	2010.0
Moves Like Jagger - Studio Recording From The Voice Performance	73.0	2010.0
The Lazy Song	73.0	2010.0
Low (feat. T-Pain)	79.0	2008.0
Viva La Vida	78.0	2008.0
You're Gonna Go Far, Kid	77.0	2008.0
I'm Yours	76.5	2008.0
Use Somebody	75.0	2008.0
Just Dance	73.0	2008.0
TRUE - Single Edit	72.0	2008.0
Halo	71.5	2008.0
Burnin' Up	71.0	2008.0
Love Will Tear Us Apart	71.0	2008.0
Yummy	95.0	2020.0
You should be sad	86.0	2020.0
Lose You To Love Me	85.0	2020.0
Rare	84.25	2020.0
Morado	82.0	2020.0
Godzilla (feat. Juice WRLD)	79.0	2020.0
Wrong Direction	79.0	2020.0
In Your Eyes (feat. Alida)	74.0	2020.0
What A Man Gotta Do	73.0	2020.0
Answer	72.0	2020.0
Beautiful Girls	77.0	2007.0
Bleeding Love	77.0	2007.0
Electric Feel	77.0	2007.0
Kids	76.0	2007.0
Thnks fr th Mmrs	76.0	2007.0
Girlfriend	72.0	2007.0
Irreplaceable	72.0	2007.0
Bubbly	71.0	2007.0
Misery Business	71.0	2007.0
Paper Planes	71.0	2007.0
Believe	76.0	1998.0
Always on My Mind	70.0	1998.0
One Week	69.0	1998.0
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio	64.0	1998.0
Boom, Boom, Boom, Boom!!	62.0	1998.0
Amor De Papel	60.0	1998.0
Don't Let the Sun Go Down on Me	60.0	1998.0
The Wild Boys	54.0	1998.0
We like to Party! (Six Flags)	51.0	1998.0
Enola Gay	17.0	1998.0
Wannabe	79.0	1996.0
Down Under	73.0	1996.0
La Calle De Las Sirenas	68.0	1996.0
Children	67.0	1996.0
Azúcar Amargo	61.0	1996.0
Bailando - Video Edit	59.0	1996.0
Jump	56.0	1996.0
Pepe	52.0	1996.0
This Is Your Night	52.0	1996.0
Tu Luz	50.0	1996.0
All Star	79.0	1999.0
...Baby One More Time	75.0	1999.0
Total Eclipse of the Heart	74.0	1999.0
Genie In a Bottle	71.0	1999.0
Manto Estelar	65.0	1999.0
No Dices Mas	62.0	1999.0
The Launch - Radio Edit	53.0	1999.0
Back in My Life	45.0	1999.0
Quisiera Adivinar	34.0	1999.0
No Hay Palabras	23.0	1999.0
Fireflies	78.0	2009.0
Party In The U.S.A.	78.0	2009.0
Down	76.0	2009.0
Secrets	76.0	2009.0
21 Guns	75.0	2009.0
You Found Me	74.0	2009.0
Intro	72.0	2009.0
Replay	72.0	2009.0
The Climb	72.0	2009.0
Like a Prayer	71.0	2009.0
What Is Love	70.0	1993.0
(I Just) Died In Your Arms	68.0	1993.0
The Sign	68.0	1993.0
More And More - Single Version	60.0	1993.0
Mr. Vain	54.0	1993.0
Got to Get It	48.0	1993.0
Rock My Heart - Radio Mix	44.0	1993.0
Gangsta's Paradise	80.0	1995.0
Ironic - 2015 Remaster	70.0	1995.0
Hardcore Vibes	57.0	1995.0
Scatman's World	54.0	1995.0
The Bomb (These Sounds Fall Into My Mind)	50.0	1995.0
Think of You - Radio Edit	50.0	1995.0
Dub-I-Dub	49.0	1995.0
Run Away	49.0	1995.0
Come and Get Your Love - Radio Edit	41.0	1995.0
Self Control	40.0	1995.0
Losing My Religion	81.0	1991.0
Big in Japan - Best of-Version	57.0	1991.0
The Sparrows And The Nightingales	46.0	1991.0
Rhythm Is A Dancer - 12'' Version	12.0	1991.0
Love Me To The End	0.0	1991.0
Love to Hate You	0.0	1991.0
Metalhammer	0.0	1991.0
Yellow	81.0	2000.0
Oops!...I Did It Again	76.0	2000.0
Up & Down	61.0	2000.0
We’re Going to Ibiza!	60.0	2000.0
Too Young	57.0	2000.0
Will I Ever	49.0	2000.0
Marian - Version	9.0	2000.0
Around the World (La La La La La) - Radio Version	5.0	2000.0
Another Night	2.0	2000.0
Basket Case	79.0	1994.0
Dreams (Will Come Alive)	61.0	1994.0
Get A Way	60.0	1994.0
Think About The Way	59.0	1994.0
Baby Baby	55.0	1994.0
Never Alone	55.0	1994.0
Here I Go Again	53.0	1994.0
Run To Me	53.0	1994.0
Happy People (feat. Marky Mark)	50.0	1994.0
No More (I Can't Stand It)	48.0	1994.0
"Rhythm Is A Dancer - 7"" Edit"	67.0	1992.0
Rhythm Is A Dancer	57.0	1992.0
I Melt With You	46.0	1992.0
If I Ever Fall In Love	32.0	1992.0
Celebration	27.0	1992.0
Sing Hallelujah!	21.0	1992.0
Around the World	70.0	1997.0
Gettin' Jiggy Wit It	70.0	1997.0
Beds Are Burning - Remastered	63.0	1997.0
I Want You Back - Radio Edit	54.0	1997.0
No Puedo Estar Sin Ti	49.0	1997.0
Take Me Home, Country Roads - Rerecorded	44.0	1997.0
My Oh My	43.0	1997.0
It's My Life	41.0	1997.0
A Donde	30.0	1997.0
Such a Shame	30.0	1997.0
I Want It That Way	76.0	2001.0
Island In The Sun	75.0	2001.0
Don't Stop Believin'	74.0	2001.0
One More Time	74.0	2001.0
Whenever, Wherever	71.0	2001.0
Harder, Better, Faster, Stronger	70.0	2001.0
Piano Man	70.0	2001.0
